,0,1,2,3,4,5,6,7
0,11, KAR-030,1, 00:36:48,43, Nonconvulsive, 20160311-084614_10_S1,0
1,9, KAR-017,1, 01:45:18,38, s2, 20160311-084614_08_S1,2
2,11, KAR-030,2, 01:50:43,47, s1, 20160311-084614_10_S2,1
3,9, KAR-017,2, 03:15:31,53, s2, 20160311-084614_08_S2,2
4,11, KAR-030,3, 03:39:22,51, s2, 20160311-084614_10_S3,2
0,11, KAR-030,1, 00:29:25,55, Nonconvulsive, 20160311-133445_10_S1,0
1,3, KAR-007,1, 01:25:33,71, s5, 20160311-133445_02_S1,5
2,11, KAR-030,2, 01:28:27,53, Nonconvulsive, 20160311-133445_10_S2,0
0,11, KAR-030,1, 00:40:31,45, Nonconvulsive, 20160311-152328_10_S1,0
1,11, KAR-030,2, 01:17:49,67, s1, 20160311-152328_10_S2,1
2,9, KAR-017,1, 01:33:33,41, Nonconvulsive, 20160311-152328_08_S1,0
3,9, KAR-017,2, 02:33:58,42, s1, 20160311-152328_08_S2,1
4,11, KAR-030,3, 03:01:52,79, s2, 20160311-152328_10_S3,2
5,9, KAR-017,3, 03:30:24,44, Nonconvulsive, 20160311-152328_08_S3,0
6,9, KAR-017,4, 03:58:19,31, s1, 20160311-152328_08_S4,1
7,11, KAR-030,4, 04:00:01,79, s2, 20160311-152328_10_S4,2
8,9, KAR-017,5, 04:29:14,47, Nonconvulsive, 20160311-152328_08_S5,0
9,9, KAR-017,6, 05:26:46,43, s2, 20160311-152328_08_S6,2
10,9, KAR-017,7, 06:07:27,45, s1, 20160311-152328_08_S7,1
11,11, KAR-030,5, 06:33:57,68, s2, 20160311-152328_10_S5,2
12,9, KAR-017,8, 07:29:10,42, Nonconvulsive, 20160311-152328_08_S8,0
13,11, KAR-030,6, 07:36:09,120, s2, 20160311-152328_10_S6,2
0,9, KAR-017,1, 01:02:39,58, s2, 20160312-000009_08_S1,2
1,11, KAR-030,1, 01:45:21,105, s2, 20160312-000009_10_S1,2
2,4, KAR-010,1, 02:40:37,89, s5, 20160312-000009_03_S1,5
3,11, KAR-030,2, 03:03:13,86, s2, 20160312-000009_10_S2,2
4,9, KAR-017,2, 04:07:52,47, s2, 20160312-000009_08_S2,2
5,11, KAR-030,3, 04:25:15,108, s2, 20160312-000009_10_S3,2
6,2, KAR-028,1, 04:46:31,54, s3, 20160312-000009_01_S1,3
7,9, KAR-017,3, 05:35:35,46, s1, 20160312-000009_08_S3,1
8,11, KAR-030,4, 06:04:23,66, s1, 20160312-000009_10_S4,1
9,11, KAR-030,5, 06:48:40,96, s1, 20160312-000009_10_S5,1
10,9, KAR-017,4, 07:26:12,66, s2, 20160312-000009_08_S4,2
11,11, KAR-030,6, 08:00:25,97, s2, 20160312-000009_10_S6,2
12,9, KAR-017,5, 08:33:39,45, s1, 20160312-000009_08_S5,1
13,9, KAR-017,6, 09:17:13,44, s2, 20160312-000009_08_S6,2
14,11, KAR-030,7, 09:18:59,86, s1, 20160312-000009_10_S7,1
15,9, KAR-017,8, 10:54:09,41, s2, 20160312-000009_02_S8,2
16,11, KAR-030,8, 11:05:55,102, s2, 20160312-000009_10_S8,2
17,9, KAR-017,9, 11:59:24,56, Nonconvulsive, 20160312-000009_08_S9,0
18,9, KAR-017,10, 12:36:12,55, Nonconvulsive, 20160312-000009_08_S10,0
19,9, KAR-017,11, 14:01:45,46, s2, 20160312-000009_08_S11,2
20,11, KAR-030,9, 14:40:22,91, s1, 20160312-000009_10_S9,1
0,9, KAR-017,1, 00:19:22,62, s2, 20160312-145813_08_S1,2
1,9, KAR-017,2, 00:59:58,48, s1, 20160312-145813_08_S2,1
2,11, KAR-030,1, 01:03:04,113, s2, 20160312-145813_10_S1,2
3,9, KAR-017,3, 01:15:39,57, Nonconvulsive, 20160312-145813_08_S3,0
4,9, KAR-017,4, 01:57:59,62, s2, 20160312-145813_08_S4,2
5,11, KAR-030,2, 02:16:26,104, s2, 20160312-145813_10_S2,2
6,9, KAR-017,5, 02:40:35,43, s1, 20160312-145813_08_S5,1
7,9, KAR-017,6, 02:57:21,64, s1, 20160312-145813_08_S6,1
8,9, KAR-017,7, 04:20:35,48, s1, 20160312-145813_08_S7,1
9,9, KAR-017,8, 04:43:11,59, s2, 20160312-145813_08_S8,2
10,9, KAR-017,9, 06:52:45,27, s1, 20160312-145813_08_S9,1
11,9, KAR-017,10, 08:05:46,48, s1, 20160312-145813_08_S10,1
0,9, KAR-017,1, 00:36:43,51, s2, 20160313-000016_08_S1,2
1,4, KAR-010,1, 02:49:59,44, s5, 20160313-000016_03_S1,5
2,11, KAR-030,1, 05:34:25,46, s1, 20160313-000016_10_S1,1
3,9, KAR-017,2, 05:43:44,55, nonconvulsive, 20160313-000016_08_S2,0
4,9, KAR-017,3, 06:25:49,48, Nonconvulsive, 20160313-000016_08_S3,0
5,9, KAR-017,4, 08:41:27,36, Nonconvulsive, 20160313-000016_08_S4,0
6,9, KAR-017,5, 10:06:29,56, Offset, 20160313-000016_08_S5,-1
7,9, KAR-017,6, 11:51:44,66, Offset?, 20160313-000016_08_S6,-1
8,9, KAR-017,7, 12:32:16,47, offset?, 20160313-000016_08_S7,-1
9,2, KAR-028,1, 13:34:38,99, Offset issue?, 20160313-000016_01_S1,-1
10,9, KAR-017,8, 13:36:08,49, Offset issue?, 20160313-000016_08_S8,-1
11,10, KAR-048,1, 14:40:46,56, Offset?, 20160313-000016_08_S1,-1
12,9, KAR-017,9, 14:41:03,69, Offset?, 20160313-000016_08_S9,-1
13,9, KAR-017,10, 15:34:36,47, Offset?, 20160313-000016_08_S10,-1
14,9, KAR-017,11, 16:19:49,53, Offset?, 20160313-000016_08_S11,-1
15,9, KAR-017,12, 17:12:17,66, Offset, 20160313-000016_08_S12,-1
16,9, KAR-017,13, 18:19:15,64, Offset, 20160313-000016_08_S13,-1
17,9, KAR-017,14, 19:03:47,56, Offset, 20160313-000016_08_S14,-1
18,3, KAR-007,2, 06:48:12,68, Offset issue, 20160313-000016_02_S2,-1
0,9, KAR-017,1, 00:30:37,52, s2, 20160316-000007_08_S1,2
1,11, KAR-030,1, 01:53:57,36, s1, 20160316-000007_10_S1,1
2,9, KAR-017,2, 01:56:38,43, Nonconvulsive, 20160316-000007_08_S2,0
3,11, KAR-030,2, 05:29:36,87, Nonconvulsive, 20160316-000007_10_S2,0
4,9, KAR-017,3, 05:46:29,61, s2, 20160316-000007_08_S3,2
5,11, KAR-030,3, 08:38:33,86, s2, 20160316-000007_10_S3,2
6,12, KAR-028,1, 09:05:09,48, s4, 20160316-000007_11_S1,4
7,11, KAR-030,4, 09:23:16,76, Nonconvulsive, 20160316-000007_10_S4,0
8,11, KAR-030,5, 10:08:58,92, Nonconvulsive, 20160316-000007_10_S5,0
9,9, KAR-017,4, 10:24:30,64, Nonconvulsive, 20160316-000007_08_S4,0
10,11, KAR-030,6, 11:18:15,58, s1, 20160316-000007_10_S6,1
11,9, KAR-017,5, 11:46:14,55, Nonconvulsive, 20160316-000007_08_S5,0
12,11, KAR-030,7, 12:19:54,85, s2, 20160316-000007_10_S7,2
13,9, KAR-017,6, 12:35:36,56, Nonconvulsive, 20160316-000007_08_S6,0
14,11, KAR-030,8, 13:16:47,81, s1, 20160316-000007_10_S8,1
15,11, KAR-030,9, 13:36:20,28, Nonconvulsive, 20160316-000007_10_S9,0
16,11, KAR-030,10, 13:40:59,97, s2, 20160316-000007_10_S10,2
17,9, KAR-017,7, 14:46:27,30, Nonconvulsive, 20160316-000007_08_S7,0
18,9, KAR-017,8, 15:46:34,31, Nonconvulsive, 20160316-000007_08_S8,0
19,9, KAR-017,9, 16:29:38,36, Nonconvulsive, 20160316-000007_08_S9,0
20,11, KAR-030,11, 16:39:24,77, s1, 20160316-000007_10_S11,1
21,9, KAR-017,10, 16:57:37,52, Nonconvulsive, 20160316-000007_08_S10,0
22,11, KAR-030,12, 17:03:05,45, Nonconvulsive, 20160316-000007_10_S12,0
23,11, KAR-030,13, 17:32:27,84, s2, 20160316-000007_10_S13,2
24,9, KAR-017,11, 18:00:40,56, Nonconvulsive, 20160316-000007_08_S11,0
25,9, KAR-017,12, 19:32:54,61, Nonconvulsive, 20160316-000007_08_S12,-1
26,11, KAR-030,14, 19:39:16,77, s1, 20160316-000007_10_S14,1
